,007,Child Health,IMNCI,Possible Serious Bacterial Infection Treatment (PSBI),Possible Serious Bacterial Infection Treatment (PSBI),Community-based management of Possible Serious Bacterial Infection (PSBI),,Community-based intervention,Primary,,,Ethiopia,Mathewos(2017);Community-Based Interventions for Newborns in Ethiopia (COMBINE): Cost-effectiveness analysis,,Government’s Health Extension Program plus management of possible serious bacterial infection with Health Extension Workers and a volunteer Community Health Worker. Includes community-based interventions for newborns: newborns treated with daily gentamycin injections and oral amoxicillin; home visits and community education,,,,,484.7897225,108108.1081,484.7897225,118054.0541,243.516,Yes,2015 US$,,,,,Children 1-59 months," 2,289,849 ",0.030%,GBD PSBI,686.9547,,,71%,Ng'ambi 2020 child,71%,,,,,,,,,,9.338388,9.338388,New Malawi estimate (2021),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,No,Complete,Complete,Complete,Complete,Incomplete,,2017-01-03768-01,Government’s Health Extension Program plus management of possible serious bacterial infection with Health Extension Workers and a volunteer Community Health Worker. Includes community-based interventions for newborns: newborns treated with daily gentamycin injections and oral amoxicillin; home visits and community education,Government’s Health Extension Program plus management of possible serious bacterial infection with Health Extension Workers and a volunteer Community Health Worker. Includes community-based interventions for newborns: newborns treated with daily gentamycin injections and oral amoxicillin; home visits and community education,,Other,Ethiopia,223,243.5051199,0,0,0,107279,0,0,0,0,Mathewos,2017,United States,2015,Community-Based Interventions for Newborns in Ethiopia (COMBINE): Cost-effectiveness analysis,481,107279,,418.5351271,93333.33333,2015 US $,223,CE evidence not appropriate,
,008,Child Health,Diarrhoeal Classification,ICCM management of diarrhea,ICCM management of diarrhea,ICCM management of diarrhea,,,Community,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",290%,GBD diarrhea,6640562.1,,,60%,Ng'ambi 2020 child,60%,,,,,,,,,,3.26016,3.26016,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 028/029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,Child Health,Diarrhoeal Classification,IMCI management of diarrhea ( children >5 years),IMCI management of diarrhea ( children >5 years),IMCI management of diarrhea ( children >5 years),,,Primary,,,,,,,,,,,,,,,,,,,,,,Children 5-14 years," 5,619,431 ",290%,GBD diarrhea,16296349.9,,,60%,Ng'ambi 2020 child,60%,,,,,,,,,,0.108072,0.108072,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 028/029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,010,Child Health,Diarrhoeal Classification,Antibiotics for treatment of dysentery,Antibiotics for treatment of dysentery,Antibiotics for treatment of dysentery,,Under 5 Outpatient Visit,Secondary,Antibiotics for treatment of dysentery,,,WHO-CHOICE,0,,,,,,0.3,74.9659284,0.3,75.86551954,252.885,,,Children 1-59 months,"25,309",10.80%,10.90%,Children 1-59 months," 2,289,849 ",290%,GBD diarrhea,6640562.1,48.00%,46.00%,33%,https://journals.sagepub.com/doi/full/10.1177/2333794X19855468,33%,4.916376618,4.916376618,4.916376618,4.916376618,,,4.916376618,4.91637662,4.91637662,0.305424,0.305424,New Malawi estimate (2021),7,5.283719796,0.880739061,7.49135629,10.4628284,3.5,2.5,3.332945747,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Complete,Complete,Complete,Complete,New data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,Child Health,Diarrhoeal Classification,IMCI management of severe dehydration,IMCI management of severe dehydration,IMCI management of severe dehydration,,,Secondary,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",,,,,,100%,Ng'ambi 2020 child/+increase for severity,100%,,,,,,,,,,8.299152,8.299152,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,Incomplete,Incomplete,Complete,Incomplete,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,Child Health,Malaria,ICCM Malaria treament  (infants),Home management of fevers using antimalarial (artesunate- amodiaquine AAQ) - under 5,Community-based management of indicated malaria,"Uncomplicated (children, <15 kg)",Community-based intervention,Community,Home management of fevers using antimalarial (artesunate- amodiaquine AAQ) - under 5,,Ghana,Nonvignon (2012); Trop Med Int Health,per capita,Febrile children 2–59 months received artesunate–amodiaquine when taken to community health workers (CHWs) by their caregivers and diagnosed of having uncomplicated fever,None,,,,0.4103469,36.55526119,48.88837711,5252.325866,107.435,Yes,2009 US$,,,,,Children 1-12 months," 599,135 ",27%,WHO World Malaria Report 2020,160568.18,59.00%,,71%,Ng'ambi 2020 child,59%,,,,,,,,,,2.26938,2.26938,New Malawi estimate (2021),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,No,Complete,Complete,Complete,Complete,Incomplete,,2012-01-01106-02,Home management of fevers using combined treatment of antimalarials and antibiotics (artesunate- amodiaquine plus amoxicillin AAQ+AMX),Home management of fevers using combined treatment of antimalarials and antibiotics (artesunate- amodiaquine plus amoxicillin AAQ+AMX),,None,Ghana,114.21,137.7795173,0,0,0,0,0,0,0,0,Nonvignon,2012,United States,2009,Is home management of fevers a cost-effective way of reducing under-five mortality in Africa? The case of a rural Ghanaian District,0.109972969,9.79681,per capita,0.4103469,36.55526119,2009 US $,89.0838,,
,013,Child Health,Malaria,IMCI Malaria treatment (children),IMCI Malaria treatment (children),IMCI Malaria treatment (children),,,Primary,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",27%,WHO World Malaria Report 2020,613679.532,,,71%,Ng'ambi 2020 child,71%,,,,,,,,,,5.5280094,5.5280094,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 116/117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,Child Health,Malaria,IMCI Malaria treatment (children >5years),IMCI Malaria treatment (children >5years),IMCI Malaria treatment (children >5years),,,Primary,,,,,,,,,,,,,,,,,,,,,,Children 5-14 years," 5,619,431 ",27%,WHO World Malaria Report 2020,1506007.508,,,71%,Ng'ambi 2020 child,71%,,,,,,,,,,4.0899054,4.0899054,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 116/117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,Child Health,Malaria,IMCI Treatment of severe Malaria,"Complicated (children, injectable artesunate)",Parenteral artesunate for severe malaria,,,Secondary,"Complicated (children, injectable artesunate)",,Uganda,Lubell (2011); Bull World Health Organ,0,Parental artesunate,Standard/Usual Care- Quinine dihyrocholride,,,,0.7,3.576,0.7,3.618912,5.170,,,Children 0-4 years,"20,962",0.30%,0.39%,Children 0-14 years," 7,909,282 ",1%,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-016-1650-6/tables/2,55364.974,100.00%,100.00%,100%,increase severity,100%,12.88724775,12.88724775,12.88724775,12.88724775,,,12.88724775,12.8872478,12.8872478,8.2119276,8.2119276,New Malawi estimate (2021),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 125),,,,,Standard/Usual Care- Quinine dihyrocholride,,,,,,,,,,,,,,,,,,,,,,,,,
,016,Child Health,Malaria,IMCI Malaria treatment (children >5years),IMCI Malaria treatment (children >5years),IMCI Malaria treatment (children >5years),,,Secondary,,,,,,,,,,,,,,,,,,,,,,Children 5-14 years," 5,619,431 ",27%,WHO World Malaria Report 2020,1506007.508,,,71%,Ng'ambi 2020 child,71%,,,,,,,,,,4.0899054,4.0899054,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 116/117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,Child Health,Malnutrition,CMAM Malnutrition treatment,CMAM Malnutrition treatment,CMAM Malnutrition treatment,,,Community,,,,,,,,,,,,,,,,,,,,,,Children 0-14 years x incidence MAM and SAM," 261,005 ",100%,DHS/GBD child,261005,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,Maternal/Newborn and Reproductive Health,ICCM+CBMNC+Family Planning,Distribute FP commodities ,Distribute FP commodities ,Distribute family planning commodities ,,,Community,,,,,,Scenario 3 modern Family planning needs fulfilled by 75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 135-142),2018-01-04461-07,Scenario 3 modern Family planning needs fulfilled by 75%,Scenario 3 modern Family planning needs fulfilled by 75%,,Standard care,Uganda,-152.4804829,-164.4269803,0,0,68325400,-1515656,0,0,0,0,Zakiyah,2018,United States,2016,,,,,,,,,,
,019,Child Health,IMCI in the Community Inputs,Community IMCI Pneumonia treatment ,Community IMCI Pneumonia treatment ,Community based management of neonatal pneumonia,,,Community,,,,,,Community based management of neonatal pneumonia,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",140%,GBD URI/LRI; https://onlinelibrary.wiley.com/doi/pdf/10.1111/irv.12481,3205788.6,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 002),2005-01-00265-01,Community based management of neonatal pneumonia,Community based management of neonatal pneumonia (95%),,None,Multiple Countries,1,1.50296748,0,0,0,0,0,0,0,0,Adam,2005,United States,2000,Cost effectiveness analysis of strategies for maternal and neonatal health in developing countries,,,,,,,,,
,020,Child Health,IMCI in the Community Inputs,ICCM management of diarrhea,ICCM management of diarrhea,ICCM management of diarrhea,,,Community,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",290%,GBD diarrhea,6640562.1,,,,,,,,,,,,,,,3.26016,3.26016,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 028/029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,021,Child Health,IMCI in the Community Inputs,ICCM Malaria treament  (infants),ICCM Malaria treament  (infants),ICCM Malaria treament  (infants),,,Community,,,,,,,,,,,,,,,,,,,,,,Children 1-12 months," 599,135 ",27%,WHO World Malaria Report 2020,160568.18,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 116/117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,022,Child Health,IMCI in the Community Inputs,CMBNC visit to PNC women,CMBNC visit to PNC women,CMBNC visit to PNC women,,,Community,,,,,,,,,,,,,,,,,,,,,,Live births," 620,346 ",100%,,620346,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,Child Health,IMCI in the Community Inputs,CMAM assess malnutrion,CMAM assess malnutrion,CMAM assess malnutrion,,,Community,,,,,,,,,,,,,,,,,,,,,,Children 0-14 years," 7,909,282 ",100%,DHS/GBD child,7909282,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,024,Child Health,IMCI in the Community Inputs,CMAM Malnutrition treatment,CMAM Malnutrition treatment,CMAM Malnutrition treatment,,,Community,,,,,,,,,,,,,,,,,,,,,,Children 0-14 x incidence MAM and SAM," 261,005 ",100%,DHS/GBD child,261005,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,025,Child Health,IMCI in the Community Inputs,Child protection - Screen for child abuse,Child protection - Screen for child abuse,Child protection - Screen for child abuse,,,Community,,,,,,,,,,,,,,,,,,,,,,Children 0-14 years," 7,909,282 ",100%,,7909282,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,026,Child Health,IMCI in the Community Inputs,TB/HIV . Identify Child at risk of HIV,TB/HIV . Identify Child at risk of HIV,TB/HIV . Identify Child at risk of HIV,,,Community,,,,,,,,,,,,,,,,,,,,,,Children 0-14 years," 7,909,282 ",100%,,7909282,,,,,,,,,,,,,,,Not available,,N/A,,,,,,,,,,,,,,,,,,,,,,No,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,027,Child Health,IMCI in Priimary Inputs,IMCI Pneumonia treatment (children),Pneumonia treatment (children),Case management of childhood pneumonia,,Under 5 Outpatient Visit,Primary,Pneumonia treatment (children),,"Afr-E region (Botswana, Burundi, Central African Republic, Congo, Côte d'Ivoire, Democratic Republic Of The Congo, Eritrea, Ethiopi
Mozambique, Namibia, Rwanda, South Africa, Swaziland, Uganda, United Republic of Tanzania, Zambia, Zimbabwe )",Edejer et al. (2005),per capita,Case management of childhood pneumonia (CM) (95%),None,0.005096775,0.440658634,Int $ (2000),0.005096775,0.440658634,0.030414067,1.190853114,39.155,Yes,2000 Int$,Children 1-59 months,"25,273",2.80%,127.83%,Children 1-59 months," 2,289,849 ",140%,GBD URI/LRI; https://onlinelibrary.wiley.com/doi/pdf/10.1111/irv.12481,3205788.6,87.00%,71.00%,70%,Ng'ambi 2020 child/+increase for severity,70%,0.155573794,0,0.155573794,0,,,0.155573794,0.55586542,0.55586542,12.4352772,12.4352772,New Malawi estimate (2021),7,5.283719796,0.880739061,7.49135629,10.4628284,3.5,2.5,3.332945747,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Complete,Complete,Complete,Complete,New data available,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,
,028,Child Health,IMCI in Priimary Inputs,IMCI management of diarrhea,ORS and Zinc for diarrhea,ORS and Zinc for acute diarrhea,,Under 5 Outpatient Visit,Primary/Secondary,ORS and Zinc for diarrhea,,Tanzania,Robberstad (2004); Bulletin of WHO,0,ORS was combined with zinc for treatment of all children with acute diarrhoea,None,,,,0.03,3.45116,0.03,3.49257392,116.419,,,Children 1-59 months,,,220.00%,Children 1-59 months," 2,289,849 ",290%,GBD diarrhea,6640562.1,72.00%,70.00%,60%,Ng'ambi 2020 child,60%,,,,,1.107450926,Malawi HBP,1.107450926,,1.107450926,0.108072,0.108072,New Malawi estimate (2021),7,5.283719796,0.880739061,7.49135629,10.4628284,3.5,2.5,3.332945747,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Complete,Complete,Complete,Complete,New data available,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,
,029,Child Health,IMCI in Priimary Inputs,IMCI management of diarrhea,Treatment of severe diarrhea,ORS and IV Fluid for severe diarrhea,,Under 5 Outpatient Visit,Primary/Secondary,Treatment of severe diarrhea,,Tanzania,Ruhago (2015); Cost Eff Resour Alloc,0,Current treatment of diarrhea (using oral rehydration salt (ORS) and intravenous (IV) fluid),"Standard/Usual Care- rotavirus vaccination (RV1)
salt (ORS) and intravenous (IV) fluid)",,,,0.59,58.9306,0.59,59.6377672,101.081,,,Children 1-59 months,"25,313",2.40%,2.40%,Children 1-59 months," 2,289,849 ",3%,Programmatic data,77854.866,100.00%,100.00%,100%,Ng'ambi 2020 child/+increase for severity,100%,2.087218855,2.087218855,2.087218855,2.087218855,,,2.087218855,2.08721885,2.08721885,0.108072,0.108072,New Malawi estimate (2021),7,5.283719796,0.880739061,7.49135629,10.4628284,3.5,2.5,3.332945747,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Complete,Complete,Complete,Complete,New data available,,,,,,"Standard/Usual Care- rotavirus vaccination (RV1)
salt (ORS) and intravenous (IV) fluid)",,,,,,,,,,,,,,,,,,,,,,,,,
,030,Child Health,IMCI in Priimary Inputs,IMCI management of diarrhea ( children >5 years),IMCI management of diarrhea ( children >5 years),IMCI management of diarrhea ( children >5 years),,,Primary,,,,,,,,,,,0.85,3.88,0.85,4.18264,4.921,Yes,2016 US$,,,,,Children 5-14 years," 5,619,432 ",,,,,,,,,,,,,,,,,,0.108072,0.108072,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,"remove - repetitive (028,029)",2014-01-02222-29,"Integrated prevention campaign (IPC) against diarrhea (household water filters), malaria (bed-nets) and HIV (counseling, testing, cotrimoxazole prophylaxis, referral to treatment & condom distribution)","Integrated prevention campaign (IPC) against diarrhea (household water filters), malaria (bed-nets) and HIV (counseling, testing, cotrimoxazole prophylaxis, referral to treatment & condom distribution)",,,Malawi,129,145.4159037,0.4622,0,0,0,0,0,0,0,Marseille,2014,United States,2012,,,,,,,,,,
,031,Child Health,IMCI in Priimary Inputs,IMCI Malaria treatment (children),IMCI Malaria treatment (children),IMCI Malaria treatment (children),,,Primary,,,,,,,,,,,,,,,,,,,,,,Children 1-59 months," 2,289,849 ",,,,,,,,,,,,,,,,,,5.5280094,5.5280094,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 116/117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,032,Child Health,IMCI in Priimary Inputs,IMCI Malaria treatment (children >5years),IMCI Malaria treatment (children >5years),IMCI Malaria treatment (children >5years),,,Primary,,,,,,,,,,,,,,,,,,,,,,Children 0-14 years," 7,909,282 ",,,,,,,,,,,,,,,,,,4.0899054,4.0899054,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - repetitive (see intervention 116/117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,033,Child Health,IMCI in Secondary Inputs,IMCI Treatment of severe pneumonia,IMCI Treatment of severe pneumonia,Inpatient pneumonia treatment,,,Secondary,,,,,,Pneumonia treatment as an inpatient,,,,,,,,,,,,,,,,Children 0-14 years," 7,909,282 ",,,,,,,,,,,,,,,,,,21.7611576,21.7611576,New Malawi estimate (2021),,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,remove - CE evidence not appropriate,2008-01-01767-09,Pneumonia treatment as an inpatient,Pneumonia treatment as an inpatient,,None,Zimbabwe,130,0.650268684,0,0,0,0,0,0,0,0,Hansen,2008,Zimbabwe,1997,Setting priorities for the health care sector in Zimbabwe using cost-effectiveness analysis and estimates of the burden of disease,,,,,,,,CE evidence not appropriate,
